id,name,location.lat,location.lon,building_type,food_type,image link,image source
"('node', 5366253665)",Nhà Hàng Hutong,10.7706822,106.6699517,restaurant,hotpot,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwu0hW-HHVxZpjvCFr508zcgB_q7U9pnUuqnMmpUh6TQcmoBR3TL_fQtdp6fPS97AQN0MFHaz4fxoaERgJEtuH1pvaXvrEc3QqEpTUYbK4WV4nN6_X6WBdHnff5cy7T1UBD7xYq=s1360-w1360-h1020-rw,
"('node', 5366253667)",Nhà Hàng Osaka Osho,10.770528,106.6698042,restaurant,japanese,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSypw7CsLbhKmNhh3cqhSlSRYJiHk0zEgGAwMgBOUg6a22zpQclTk9TN2hxQokAyM9HTI_GJYmw_0S7828Wd_YUaKJo2o7CdLUyRbeX9oi5SQTw5yE39YJVrGEMCJSg36IyMxaH_pQ=s1360-w1360-h1020-rw,
"('node', 5366253668)",Nhà Hàng Pastamania,10.7708205,106.669536,restaurant,italian,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxy5E3svctId-ckD4p4bitMka1BHWLeQzckQxCnTWmeCZnrtYYi_vz66bcR0_3J0zG7F8zormZKTM7Hy1L2JIEzTscNKIxIdV-nrFZliwb0TDSu6yAE9Z9x4d88KlFXDL5PdcXnbg=s1360-w1360-h1020-rw,
"('node', 5366253669)",Nhà Hàng Shabu Ya,10.7703778,106.6696111,restaurant,japanese,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSznJrj1IUzycscwCe0XTl-7B9oEM-8otUQmYbhH3guvAzyfx2ROrwpxayJ9vAUsVjga5Vp6vwFASSX0FqbaxeuxLvhJNaOKFvO6bEYOCIyG1eBwB0XaPLFnW3EUaL3QTM63Ro3k=s1360-w1360-h1020-rw,
"('node', 5366253670)",Thai Express,10.7707915,106.6696728,restaurant,thai,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzEN_c-OuQa_cBNq8hYEjQZa8GVGd4o9hsJmWdn1ydmPMJSPY-U7nV52Q17dJFY6SzfP7P4pWnMouXYpdeaKanoHSwLjpII1jXduvBaLa1t0761wNjPR1tDhr2PbfcrzapNXdwkDuhpuU9O=s1360-w1360-h1020-rw,
"('node', 5366253671)",Nhà Hàng Kohako Sushi,10.7707625,106.6695252,restaurant,sushi,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwdNTlqyqyqYYg_HbfkcYGluP_9CV47UC_VsubFIXoGEK_mbAK4jnTBAszo9Q43SBLklPc5xfPSlLlp5_psHGaX6NoSsEbdpG6f8AWH_fvkh8opKfpDmjn1mtyK3sV11DM5In7-=s1360-w1360-h1020-rw,
"('node', 5366253672)",Tasiki BBQ,10.7704885,106.6698605,restaurant,korean,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxGTORNvbBku5Q8x-DuotD6AB1Jo39briMBYdjC4Kttdml2YleFYj83XPHgSRumImPxBhX8Njj7muN_FXENOQz7GFuhgnK3zL-azYfYBWF8434AII34VQr9TBEMgurm_AAIK80=s1360-w1360-h1020-rw,
"('node', 5366253676)",Nhà Hàng Kichi Kichi,10.7704543,106.6698793,restaurant,hotpot,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy_XaV2d0xVh1yDNabDOJkn021XtjbLMNT-7sezdO7pe81NeTAcuUJLk8gstqfkPIjqBJSHmYI22S2kl0I85aSGkG6vaywl1VoWDJV5EiH7-JYxe1kegGkmF6I7kN1riMLfiseM=s1360-w1360-h1020-rw,
"('node', 5366253690)",Nhà Hàng Aka Sushi House,10.7706334,106.6694555,restaurant,sushi,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxsPll0da9-xCP3G1jbedcpWFM7VQRMrdaX67G9APv-ZY6RSK97tkp66nxztSroJP6z1e7DOewQ-BDiiVMvdTNmUqBAfUusNJToasQFzohXOfu2rNCGk47FbyPHpzE6EqwFhp4S=s1360-w1360-h1020-rw,
"('node', 5375623229)",Nhà Hàng 48 Bistro,10.7714338,106.691936,restaurant,regional;vietnamese,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzhDOrSbSxJqbI8ePMc08e3MGWesmWfvRuPS1XGBcP13C2GmwlGRLqrMMBewa7XKA_nx-TPUpJ-KIKPBPJs7_MuL_sPyiKvPpKpuHeMsrVTpe2lCUtZANy4SfP-6yS0Maxo3uNedw=s1360-w1360-h1020-rw,
"('node', 5375766600)",Nhà Hàng Meat & Meet,10.7714463,106.692749,restaurant,barbecue;korean;pizza,https://lh3.googleusercontent.com/p/AF1QipM7brbDKw9fj9a2k0L_no0PUNdiZOHEh7Q7qFW_=s1360-w1360-h1020-rw,
"('node', 5388501721)",Nhà Hàng Thai Street,10.8045082,106.7371682,restaurant,thai,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/19/79/fc/feel-the-bangkok-vibes.jpg?w=1400&h=-1&s=1,
"('node', 5388552521)",Quán Phở Hùng,10.764853,106.6876056,restaurant,vietnamese;asian,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxmNip9ciW1JsiTCzMGDlvemXPSv72DJTrbpWb4vlmEWa9uTNCFoilYiWVLJ-slDhRSiuz0Ckf2cLZ1aTFbBK-4HuvvtAED6sdSyr88BXn1BYoz8amOnO6jl9CKzR_baaJ2KvllAQvA8CO0=s1360-w1360-h1020-rw,
"('node', 5584409522)",Nhà Hàng Tân Hải Vân,10.769362,106.6902884,restaurant,chinese,https://lh3.googleusercontent.com/p/AF1QipMuWdveOAOWU4k-z0Zsjv_GZOiQGzpkotE-ePX4=s1360-w1360-h1020-rw,
"('node', 5594543521)",Nhà Hàng Dì Năm Sa Đéc,10.7682523,106.6868828,restaurant,regional;vietnamese,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyId6fyFbTWPQqFGGQJnflMT_VkLT3z3lEY3shbdXOXHANSGyQKMAhButgTnBo6hDGdf_NABmy57LZTrNitRJkFhYZyjtKH4MsdjDEsvkDgaX1aVRhFWdWrwHmMMu0MW3Ifhenhnv8sbM4=s1360-w1360-h1020-rw,
